"","ens_gene_5"
"381","ENSG00000174574"
"382","ENSG00000168653"
"383","ENSG00000127603"
"384","ENSG00000182109"
"385","ENSG00000243970"
"386","ENSG00000090621"
"387","ENSG00000201457"
"388","ENSG00000084072"
"389","ENSG00000043514"
"390","ENSG00000168389"
"391","ENSG00000131236"
"392","ENSG00000131238"
"393","ENSG00000117000"
"394","ENSG00000259943"
"395","ENSG00000084073"
"396","ENSG00000049089"
"397","ENSG00000084070"
"398","ENSG00000187801"
"399","ENSG00000260920"
"400","ENSG00000117010"
"401","ENSG00000117016"
"402","ENSG00000272145"
"403","ENSG00000066136"
"404","ENSG00000171793"
"405","ENSG00000281207"
"406","ENSG00000010803"
"407","ENSG00000127124"
"408","ENSG00000198815"
"409","ENSG00000066185"
"410","ENSG00000127125"
"411","ENSG00000186409"
"412","ENSG00000171960"
"413","ENSG00000065978"
"414","ENSG00000117385"
"415","ENSG00000164008"
"416","ENSG00000274386"
"417","ENSG00000177868"
"418","ENSG00000164010"
"419","ENSG00000164011"
"420","ENSG00000117394"
"421","ENSG00000117395"
"422","ENSG00000117399"
"423","ENSG00000066322"
"424","ENSG00000159479"
"425","ENSG00000198198"
"426","ENSG00000142949"
"427","ENSG00000066135"
"428","ENSG00000126091"
"429","ENSG00000117408"
"430","ENSG00000132768"
"431","ENSG00000117410"
"432","ENSG00000117411"
"433","ENSG00000230615"
"434","ENSG00000178028"
"435","ENSG00000117419"
"436","ENSG00000233602"
"437","ENSG00000187147"
"438","ENSG00000126106"
"439","ENSG00000198520"
"440","ENSG00000199377"
"441","ENSG00000200169"
"442","ENSG00000142945"
"443","ENSG00000225721"
"444","ENSG00000142937"
"445","ENSG00000200913"
"446","ENSG00000173846"
"447","ENSG00000222009"
"448","ENSG00000117425"
"449","ENSG00000070785"
"450","ENSG00000126107"
"451","ENSG00000126088"
"452","ENSG00000186603"
"453","ENSG00000132781"
"454","ENSG00000132773"
"455","ENSG00000070759"
"456","ENSG00000280670"
"457","ENSG00000132763"
"458","ENSG00000117450"
"459","ENSG00000117448"
"460","ENSG00000132780"
"461","ENSG00000159588"
"462","ENSG00000159592"
"463","ENSG00000225447"
"464","ENSG00000234329"
"465","ENSG00000159596"
"466","ENSG00000197429"
"467","ENSG00000086015"
"468","ENSG00000117461"
"469","ENSG00000085998"
"470","ENSG00000085999"
"471","ENSG00000132128"
"472","ENSG00000173660"
"473","ENSG00000117481"
"474","ENSG00000117480"
"475","ENSG00000079277"
"476","ENSG00000142961"
"477","ENSG00000123472"
"478","ENSG00000159658"
"479","ENSG00000123473"
"480","ENSG00000162368"
"481","ENSG00000237424"
"482","ENSG00000186564"
"483","ENSG00000185104"
"484","ENSG00000123080"
"485","ENSG00000123091"
"486","ENSG00000085832"
"487","ENSG00000117859"
"488","ENSG00000078618"
"489","ENSG00000117862"
"490","ENSG00000198841"
"491","ENSG00000134717"
"492","ENSG00000157077"
"493","ENSG00000154222"
"494","ENSG00000085840"
"495","ENSG00000134748"
"496","ENSG00000134744"
"497","ENSG00000162377"
"498","ENSG00000162378"
"499","ENSG00000116171"
"500","ENSG00000157184"
"501","ENSG00000162384"
"502","ENSG00000162385"
"503","ENSG00000157193"
"504","ENSG00000058804"
"505","ENSG00000058799"
"506","ENSG00000081870"
"507","ENSG00000116212"
"508","ENSG00000116209"
"509","ENSG00000280378"
"510","ENSG00000116205"
"511","ENSG00000215883"
"512","ENSG00000116221"
"513","ENSG00000157216"
"514","ENSG00000162390"
"515","ENSG00000184313"
"516","ENSG00000243725"
"517","ENSG00000162396"
"518","ENSG00000116133"
"519","ENSG00000162402"
"520","ENSG00000162600"
"521","ENSG00000162601"
"522","ENSG00000177606"
"523","ENSG00000172456"
"524","ENSG00000162599"
"525","ENSG00000162604"
"526","ENSG00000162607"
"527","ENSG00000116641"
"528","ENSG00000125703"
"529","ENSG00000088035"
"530","ENSG00000142856"
"531","ENSG00000203965"
"532","ENSG00000116652"
"533","ENSG00000079739"
"534","ENSG00000162437"
"535","ENSG00000162434"
"536","ENSG00000226891"
"537","ENSG00000162433"
"538","ENSG00000213625"
"539","ENSG00000116678"
"540","ENSG00000184588"
"541","ENSG00000152763"
"542","ENSG00000198160"
"543","ENSG00000116704"
"544","ENSG00000162594"
"545","ENSG00000228523"
"546","ENSG00000081985"
"547","ENSG00000142864"
"548","ENSG00000116717"
"549","ENSG00000024526"
"550","ENSG00000237919"
"551","ENSG00000066557"
"552","ENSG00000116754"
"553","ENSG00000118454"
"554","ENSG00000116761"
"555","ENSG00000132485"
"556","ENSG00000207721"
"557","ENSG00000229956"
"558","ENSG00000162620"
"559","ENSG00000254685"
"560","ENSG00000259030"
"561","ENSG00000116791"
"562","ENSG00000162623"
"563","ENSG00000117054"
"564","ENSG00000137955"
"565","ENSG00000057468"
"566","ENSG00000226415"
"567","ENSG00000142892"
"568","ENSG00000226084"
"569","ENSG00000154027"
"570","ENSG00000036549"
"571","ENSG00000077254"
"572","ENSG00000180488"
"573","ENSG00000219201"
"574","ENSG00000235613"
"575","ENSG00000162614"
"576","ENSG00000162613"
"577","ENSG00000162616"
"578","ENSG00000142875"
"579","ENSG00000117133"
"580","ENSG00000174021"
"581","ENSG00000122432"
"582","ENSG00000117151"
"583","ENSG00000117155"
"584","ENSG00000162642"
"585","ENSG00000142867"
"586","ENSG00000117174"
"587","ENSG00000122417"
"588","ENSG00000097033"
"589","ENSG00000183291"
"590","ENSG00000153936"
"591","ENSG00000143013"
"592","ENSG00000065243"
"593","ENSG00000207234"
"594","ENSG00000241975"
"595","ENSG00000137947"
"596","ENSG00000137944"
"597","ENSG00000213516"
"598","ENSG00000117226"
"599","ENSG00000117228"
"600","ENSG00000234518"
"601","ENSG00000162645"
"602","ENSG00000154451"
"603","ENSG00000197147"
"604","ENSG00000171488"
"605","ENSG00000171492"
"606","ENSG00000272672"
"607","ENSG00000162664"
"608","ENSG00000122482"
"609","ENSG00000097046"
"610","ENSG00000069702"
"611","ENSG00000174842"
"612","ENSG00000122484"
"613","ENSG00000162676"
"614","ENSG00000067208"
"615","ENSG00000122406"
"616","ENSG00000154511"
"617","ENSG00000207523"
"618","ENSG00000143033"
"619","ENSG00000117500"
"620","ENSG00000122483"
"621","ENSG00000223745"
"622","ENSG00000117505"
"623","ENSG00000137942"
"624","ENSG00000067334"
"625","ENSG00000023909"
"626","ENSG00000117528"
"627","ENSG00000117525"
"628","ENSG00000143036"
"629","ENSG00000172339"
"630","ENSG00000122481"
"631","ENSG00000228502"
"632","ENSG00000137970"
"633","ENSG00000117569"
"634","ENSG00000156869"
"635","ENSG00000162688"
"636","ENSG00000117620"
"637","ENSG00000283761"
"638","ENSG00000156875"
"639","ENSG00000156876"
"640","ENSG00000122435"
"641","ENSG00000122477"
"642","ENSG00000137992"
"643","ENSG00000224616"
"644","ENSG00000137996"
"645","ENSG00000207750"
"646","ENSG00000079335"
"647","ENSG00000162694"
"648","ENSG00000162695"
"649","ENSG00000117543"
"650","ENSG00000235795"
"651","ENSG00000233184"
"652","ENSG00000183298"
"653","ENSG00000185946"
"654","ENSG00000240038"
"655","ENSG00000198890"
"656","ENSG00000134215"
"657","ENSG00000085491"
"658","ENSG00000162636"
"659","ENSG00000162639"
"660","ENSG00000134186"
"661","ENSG00000116266"
"662","ENSG00000121957"
"663","ENSG00000121940"
"664","ENSG00000085433"
"665","ENSG00000244716"
"666","ENSG00000197780"
"667","ENSG00000273382"
"668","ENSG00000215717"
"669","ENSG00000031698"
"670","ENSG00000134222"
"671","ENSG00000143106"
"672","ENSG00000162650"
"673","ENSG00000174151"
"674","ENSG00000065135"
"675","ENSG00000116337"
"676","ENSG00000168765"
"677","ENSG00000213366"
"678","ENSG00000134184"
"679","ENSG00000198758"
"680","ENSG00000184371"
"681","ENSG00000168710"
"682","ENSG00000143093"
"683","ENSG00000258634"
"684","ENSG00000116396"
"685","ENSG00000227963"
"686","ENSG00000162775"
"687","ENSG00000224699"
"688","ENSG00000273373"
"689","ENSG00000134248"
"690","ENSG00000143119"
"691","ENSG00000261654"
"692","ENSG00000121931"
