"","distance","condition","norm","proportion"
"1974",65800000,"mig5",0.6403341912,0.000235316493979646
"1975",65900000,"control",0.69715457586,0.00017521566968792
"1976",65900000,"mig14",0.7230515047,0.000161927387542994
"1977",65900000,"mig5",0.5778054586,0.000212337802023734
"1978",6.6e+07,"control",0.7384077214,0.000185583811521612
"1979",6.6e+07,"mig14",0.6498510955,0.000145534155592316
"1980",6.6e+07,"mig5",0.5627436439,0.000206802733809536
"1981",66100000,"control",0.73693308945,0.00018521319267522
"1982",66100000,"mig14",0.7185660227,0.000160922863830078
"1983",66100000,"mig5",0.6291215459,0.000231195957521505
"1984",66200000,"control",0.6829442564,0.000171644193968074
"1985",66200000,"mig14",0.79029207094,0.000176985912637513
"1986",66200000,"mig5",0.69271012395,0.000254564132217652
"1987",66300000,"control",0.7177018061,0.000180379799468309
"1988",66300000,"mig14",0.71044014737,0.000159103074015474
"1989",66300000,"mig5",0.5594206786,0.000205581576865618
"1990",66400000,"control",0.7261388047,0.000182500268028716
"1991",66400000,"mig14",0.6792307352,0.000152113726027688
"1992",66400000,"mig5",0.5973790061,0.000219530887502759
"1993",66500000,"control",0.739307138,0.000185809861650743
"1994",66500000,"mig14",0.7973157931,0.000178558875245023
"1995",66500000,"mig5",0.6673339104,0.00024523862424833
"1996",66600000,"control",0.731645512,0.000183884267274729
"1997",66600000,"mig14",0.77882111657,0.00017441699235772
"1998",66600000,"mig5",0.5439500294,0.000199896266008625
"1999",66700000,"control",0.6806561507,0.000171069124985635
"2000",66700000,"mig14",0.6746980071,0.000151098621550476
"2001",66700000,"mig5",0.67601421,0.00024842854866067
"2002",66800000,"control",0.6916893716,0.000173842101389647
"2003",66800000,"mig14",0.7145199825,0.000160016753110134
"2004",66800000,"mig5",0.6177023858,0.000226999528913049
"2005",66900000,"control",0.65886872812,0.000165593298002187
"2006",66900000,"mig14",0.7836173926,0.000175491118394973
"2007",66900000,"mig5",0.579960913,0.0002131299102374
"2008",6.7e+07,"control",0.68447883045,0.000172029878046135
"2009",6.7e+07,"mig14",0.7274220232,0.000162906165179598
"2010",6.7e+07,"mig5",0.6252062241,0.000229757115411495
"2011",67100000,"control",0.69816459114,0.000175469516553175
"2012",67100000,"mig14",0.7696850801,0.000172370976951531
"2013",67100000,"mig5",0.6014554325,0.000221028933962868
"2014",67200000,"control",0.7017465781,0.000176369776360314
"2015",67200000,"mig14",0.7024978485,0.000157324396149865
"2016",67200000,"mig5",0.63867091378,0.000234705255947429
"2017",67300000,"control",0.6825573638,0.000171546956356282
"2018",67300000,"mig14",0.7181179582,0.000160822519783403
"2019",67300000,"mig5",0.6183840085,0.000227250018526419
"2020",67400000,"control",0.6838792993,0.000171879198045482
"2021",67400000,"mig14",0.7098041992,0.000158960653420106
"2022",67400000,"mig5",0.60831915922,0.000223551285774753
"2023",67500000,"control",0.6952955981,0.000174748453313772
"2024",67500000,"mig14",0.7950281714,0.00017804656235561
"2025",67500000,"mig5",0.5576579746,0.000204933800546777
"2026",67600000,"control",0.60915988578,0.000153099988194574
"2027",67600000,"mig14",0.71586465737,0.000160317893052972
"2028",67600000,"mig5",0.6023923164,0.000221373229547336
"2029",67700000,"control",0.695151548,0.00017471224924137
"2030",67700000,"mig14",0.70717381702,0.000158371579319744
"2031",67700000,"mig5",0.56264682523,0.000206767153904091
"2032",67800000,"control",0.6353240941,0.000159675831546083
"2033",67800000,"mig14",0.6798415637,0.000152250521072853
"2034",67800000,"mig5",0.56656416095,0.00020820673610982
"2035",67900000,"control",0.6827083915,0.000171584914106992
"2036",67900000,"mig14",0.6801298709,0.000152315087471515
"2037",67900000,"mig5",0.542298748,0.000199289436395336
"2038",6.8e+07,"control",0.698535252,0.000175562674646173
"2039",6.8e+07,"mig14",0.6941323103,0.000155450933834509
"2040",6.8e+07,"mig5",0.6309422727,0.000231865056646554
"2041",68100000,"control",0.65029106273,0.000163437475695759
"2042",68100000,"mig14",0.7589352979,0.000169963563182266
"2043",68100000,"mig5",0.6481980869,0.000238206398018157
"2044",68200000,"control",0.69157238022,0.000173812697977973
"2045",68200000,"mig14",0.7000322583,0.000156772227214122
"2046",68200000,"mig5",0.5571879531,0.000204761072285511
"2047",68300000,"control",0.6109691717,0.000153554715532107
"2048",68300000,"mig14",0.6567996394,0.00014709028202818
"2049",68300000,"mig5",0.607176091,0.000223131219488106
"2050",68400000,"control",0.68443636642,0.00017201920557304
"2051",68400000,"mig14",0.6462779422,0.000144733947895632
"2052",68400000,"mig5",0.61918465238,0.000227544247248478
"2053",68500000,"control",0.62910080576,0.00015811173418244
"2054",68500000,"mig14",0.6929472045,0.000155185529385575
"2055",68500000,"mig5",0.60080861888,0.000220791236342769
"2056",68600000,"control",0.6447854262,0.000162053745566078
"2057",68600000,"mig14",0.7123483116,0.000159530407402872
"2058",68600000,"mig5",0.61921526491,0.000227555497051051
"2059",68700000,"control",0.620605586,0.000155976632913746
"2060",68700000,"mig14",0.72611080642,0.000162612518176158
"2061",68700000,"mig5",0.594571857,0.000218499287920278
"2062",68800000,"control",0.6499982864,0.000163363892300475
"2063",68800000,"mig14",0.7236518179,0.000162061827686679
"2064",68800000,"mig5",0.5655158541,0.000207821493691179
"2065",68900000,"control",0.604801252,0.000152004533953676
"2066",68900000,"mig14",0.66815370458,0.000149633024973377
"2067",68900000,"mig5",0.6020624254,0.000221251997861472
"2068",6.9e+07,"control",0.68710993074,0.000172691151765467
"2069",6.9e+07,"mig14",0.6760810504,0.000151408354103375
"2070",6.9e+07,"mig5",0.55650706431,0.000204510852376821
"2071",69100000,"control",0.6433023372,0.000161681001211612
"2072",69100000,"mig14",0.65935061035,0.000147661571983247
"2073",69100000,"mig5",0.54196205477,0.000199165704957098
"2074",69200000,"control",0.637741704,0.000160283448783838
"2075",69200000,"mig14",0.694157479,0.000155456570364981
"2076",69200000,"mig5",0.61151385448,0.000224725304745234
"2077",69300000,"control",0.6860025195,0.00017241282640011
"2078",69300000,"mig14",0.67114719053,0.000150303416164571
"2079",69300000,"mig5",0.5821453312,0.00021393266236164
"2080",69400000,"control",0.6900768818,0.000173436834767358
"2081",69400000,"mig14",0.7061341185,0.000158138738831782
"2082",69400000,"mig5",0.6773121006,0.000248905510643582
"2083",69500000,"control",0.6459371055,0.000162343196810899
"2084",69500000,"mig14",0.6480931528,0.000145140464317198
"2085",69500000,"mig5",0.56661127331,0.000208224049437034
"2086",69600000,"control",0.6358305958,0.000159803130480403
"2087",69600000,"mig14",0.6596838588,0.000147736202975038
"2088",69600000,"mig5",0.6433441021,0.000236422606521991
"2089",69700000,"control",0.64268151079,0.000161524969079063
"2090",69700000,"mig14",0.6509281431,0.000145775360406902
"2091",69700000,"mig5",0.6052916558,0.000222438708154978
"2092",69800000,"control",0.65443872558,0.000164479906670276
"2093",69800000,"mig14",0.717450552,0.000160673054162084
"2094",69800000,"mig5",0.5846252222,0.000214843997823016
"2095",69900000,"control",0.6714332962,0.000168751147475901
"2096",69900000,"mig14",0.70496815472,0.000157877621238308
"2097",69900000,"mig5",0.59663699002,0.000219258203918434
"2098",7e+07,"control",0.63636236196,0.000159936779124575
"2099",7e+07,"mig14",0.6423555603,0.000143855530452498
"2100",7e+07,"mig5",0.605239567,0.000222419566035191
"2101",70100000,"control",0.6284565272,0.000157949807827418
"2102",70100000,"mig14",0.6696226759,0.000149962001106719
"2103",70100000,"mig5",0.5583729304,0.000205196539745336
"2104",70200000,"control",0.7048504217,0.000177149864527001
"2105",70200000,"mig14",0.6282002879,0.000140685457138506
"2106",70200000,"mig5",0.5739934015,0.000210936908671559
"2107",70300000,"control",0.66440150527,0.000166983849376501
"2108",70300000,"mig14",0.6416726875,0.000143702601086043
"2109",70300000,"mig5",0.5584649525,0.000205230356958658
"2110",70400000,"control",0.6354045125,0.000159696043080654
"2111",70400000,"mig14",0.6460959429,0.000144693189151626
"2112",70400000,"mig5",0.6347063218,0.000233248307532657
"2113",70500000,"control",0.6247776219,0.000157025189560282
"2114",70500000,"mig14",0.61421204738,0.000137552790614747
"2115",70500000,"mig5",0.5382342597,0.000197795777069126
"2116",70600000,"control",0.6160431503,0.000154829957191798
"2117",70600000,"mig14",0.604683734,0.0001354189247929
"2118",70600000,"mig5",0.5996908514,0.000220380467828307
"2119",70700000,"control",0.6065878593,0.000152453561479821
"2120",70700000,"mig14",0.69159116244,0.000154881843760489
"2121",70700000,"mig5",0.5478843245,0.000201342080619084
"2122",70800000,"control",0.638823883,0.000160555432537188
"2123",70800000,"mig14",0.6397870306,0.000143280308215293
"2124",70800000,"mig5",0.5727393681,0.000210476063776695
"2125",70900000,"control",0.5814682126,0.000146140247515791
"2126",70900000,"mig14",0.681526689,0.000152627904890932
"2127",70900000,"mig5",0.5494179971,0.000201905690159391
"2128",7.1e+07,"control",0.6177379247,0.000155255904380196
"2129",7.1e+07,"mig14",0.6917508334,0.000154917602072658
"2130",7.1e+07,"mig5",0.5225111348,0.000192017683884786
"2131",71100000,"control",0.5958116825,0.000149745187899459
"2132",71100000,"mig14",0.6152790516,0.00013779174621434
"2133",71100000,"mig5",0.54495433838,0.000200265339644383
"2134",71200000,"control",0.59202106974,0.000148792494226823
"2135",71200000,"mig14",0.6735210352,0.000150835038688481
